Month,Outlier_Type,Box_Index,Box_Time,SW_Corner_X,SW_Corner_Y,Value
1,RMSE,103,2021-01-31 11:21:50,229050,879050,7.52738731876664
1,RMSE,310,2016-01-29 11:04:01,497050,468050,3.8598589296615446
1,RMSE,1181,2015-01-03 10:59:00,369050,104050,7.116976149075665
1,RMSE,2309,2016-01-15 10:52:04,556050,323050,3.0828827551718327
1,RMSE,3477,2020-01-24 11:04:05,449050,454050,2.9103045951745794
1,RMSE,4622,2016-01-20 11:11:01,235050,104050,3.495966201629838
1,RMSE,4624,2016-01-20 11:11:01,230050,114050,3.5472526060662948
1,RMSE,4625,2016-01-20 11:11:01,241050,114050,3.355639693132257
1,RMSE,5484,2016-01-20 11:11:01,234050,222050,3.484394770508397
1,RMSE,5485,2016-01-20 11:11:01,237050,240050,2.958270690112245
1,RMSE,6128,2021-01-22 11:28:49,48050,494050,3.0664021919223425
1,RMSE,6131,2021-01-22 11:28:49,44050,514050,3.291905245724844
1,RMSE,6133,2021-01-22 11:28:49,31050,515050,2.999322159076025
1,RMSE,7393,2016-01-20 11:11:01,269050,94050,3.4047974193967456
1,RMSE,7520,2022-01-04 11:11:10,269050,95050,4.5739505659331465
1,RMSE,7530,2022-01-13 11:04:59,289050,122050,2.91619313550516
1,Bias,103,2021-01-31 11:21:50,229050,879050,-6.6015146968221075
1,Bias,310,2016-01-29 11:04:01,497050,468050,-3.731271492151336
1,Bias,1181,2015-01-03 10:59:00,369050,104050,6.894871168880002
1,Bias,3146,2016-01-20 11:10:37,330050,401050,-1.6535966825204014
1,Bias,4367,2017-01-08 10:58:45,488050,254050,-2.2466946819255327
1,Bias,4368,2017-01-08 10:58:45,498050,254050,-1.9240871953517171
1,Bias,4622,2016-01-20 11:11:01,235050,104050,3.4214758237476417
1,Bias,4624,2016-01-20 11:11:01,230050,114050,3.3752965727969695
1,Bias,4625,2016-01-20 11:11:01,241050,114050,3.233596671684438
1,Bias,5484,2016-01-20 11:11:01,234050,222050,3.3246410665183816
1,Bias,6131,2021-01-22 11:28:49,44050,514050,3.1764113858465635
1,Bias,7393,2016-01-20 11:11:01,269050,94050,3.289689940035146
1,Bias,7520,2022-01-04 11:11:10,269050,95050,4.118290551613256
1,Variance,103,2021-01-31 11:21:50,229050,879050,13.081549794497592
1,Variance,1181,2015-01-03 10:59:00,369050,104050,3.1119704033977555
1,Variance,1403,2022-01-13 11:04:59,374050,98050,1.959648755336663
1,Variance,2309,2016-01-15 10:52:04,556050,323050,1.9261948931614314
1,Variance,4686,2020-01-15 11:11:06,229050,117050,1.5536270480473704
1,Variance,5556,2022-01-12 11:11:10,229050,227050,1.74196643370475
1,Variance,5940,2022-01-13 11:04:59,352050,279050,3.2401567758318115
1,Variance,6388,2022-01-13 11:04:59,323050,102050,1.5511218245732739
1,Variance,6389,2022-01-13 11:04:59,317050,112050,2.238976170846194
1,Variance,7520,2022-01-04 11:11:10,269050,95050,3.960663302105535
1,Variance,7528,2022-01-13 11:04:59,269050,117050,1.5423172300523909
1,Variance,7530,2022-01-13 11:04:59,289050,122050,2.1357937844282953
2,RMSE,228,2019-02-22 11:04:04,309050,334050,2.579506589631985
2,RMSE,320,2020-02-02 10:57:51,499050,454050,8.197376760186176
2,RMSE,321,2020-02-02 10:57:51,499050,464050,8.834602343325056
2,RMSE,322,2020-02-02 10:57:51,499050,474050,10.592402026415488
2,RMSE,323,2020-02-09 11:04:00,498050,454050,4.682823723148202
2,RMSE,329,2022-02-23 10:57:48,499050,457050,5.5973468186867406
2,RMSE,330,2022-02-23 10:57:48,497050,467050,7.610480909596042
2,RMSE,446,2019-02-27 11:21:23,269050,784050,2.7267278922965015
2,RMSE,464,2022-02-19 11:21:44,269050,804050,5.897992659281221
2,RMSE,601,2022-02-20 11:15:16,389050,854050,3.235223367694634
2,RMSE,1267,2018-02-28 10:58:17,349050,96050,2.7003585252756928
2,RMSE,1565,2016-02-16 10:52:18,488050,134050,2.6809943687340736
2,RMSE,2166,2019-02-27 11:21:23,248050,724050,3.4614413611302197
2,RMSE,2461,2019-02-24 10:51:42,549050,324050,4.113606663350465
2,RMSE,2462,2019-02-24 10:51:42,565050,324050,2.6028520249289344
2,RMSE,2756,2017-02-14 11:15:51,336050,675050,4.333937585332474
2,RMSE,2789,2020-02-07 11:15:58,338050,676050,3.038662526168892
2,RMSE,3905,2016-02-28 11:15:25,297050,714050,2.8111322645400403
2,RMSE,4043,2022-02-27 11:21:45,271050,716050,2.8714585431198225
2,RMSE,4044,2022-02-27 11:21:45,281050,716050,3.011314709524157
2,RMSE,4252,2020-02-09 11:04:00,489050,404050,7.006644478575886
2,RMSE,4253,2020-02-09 11:04:00,499050,404050,6.62233980639773
2,RMSE,4654,2019-02-13 11:11:04,234050,114050,2.695736459258353
2,RMSE,4852,2022-02-27 11:21:45,247050,819050,2.7932047017632726
2,RMSE,4894,2016-02-16 10:52:18,549050,134050,2.92001665525206
2,RMSE,4895,2016-02-16 10:52:18,559050,134050,2.7250474694063276
2,RMSE,5085,2021-02-27 11:04:21,393050,294050,6.275126201828396
2,RMSE,5086,2021-02-27 11:04:21,403050,299050,8.089827319045337
2,RMSE,5087,2021-02-27 11:04:21,407050,314050,9.433054234263206
2,RMSE,5088,2021-02-27 11:04:21,417050,315050,2.6313242847046143
2,RMSE,5357,2022-02-04 11:15:47,363050,814050,2.629122923629886
2,RMSE,5358,2022-02-04 11:15:47,374050,822050,2.660230347367538
2,RMSE,5359,2022-02-04 11:15:47,371050,832050,3.138543008635906
2,RMSE,5583,2016-02-28 11:15:49,278050,672050,2.6100762623392013
2,RMSE,5584,2016-02-28 11:15:49,297050,681050,3.312614688727006
2,RMSE,5724,2020-02-07 11:15:58,368050,664050,2.7472518754010875
2,RMSE,5899,2019-02-22 11:04:04,354050,264050,2.739542848342231
2,RMSE,6475,2014-02-08 11:04:54,498050,437050,3.058391686272979
2,RMSE,6531,2020-02-02 10:57:51,489050,434050,4.575044846232075
2,RMSE,6532,2020-02-02 10:57:51,499050,434050,7.400583976285313
2,RMSE,6533,2020-02-02 10:57:51,499050,444050,8.406348390767302
2,RMSE,6534,2020-02-09 11:04:00,482050,424050,5.8618814554365
2,RMSE,6535,2020-02-09 11:04:00,494050,434050,7.117713517554407
2,RMSE,6536,2020-02-09 11:04:00,491050,444050,6.3810942045371934
2,RMSE,6621,2016-02-16 10:51:54,598050,254050,2.6759814223130918
2,RMSE,6622,2016-02-16 10:51:54,608050,254050,2.7243648436412777
2,RMSE,6623,2016-02-16 10:51:54,618050,254050,3.0340800893518325
2,RMSE,6627,2016-02-16 10:51:54,619050,264050,3.1946847630472375
2,RMSE,6630,2016-02-16 10:51:54,609050,274050,2.788545245062586
2,RMSE,6634,2016-02-16 10:51:54,611050,284050,3.1188589402858455
2,Bias,320,2020-02-02 10:57:51,499050,454050,8.153579534953167
2,Bias,321,2020-02-02 10:57:51,499050,464050,8.71457957891863
2,Bias,322,2020-02-02 10:57:51,499050,474050,10.53085304736237
2,Bias,329,2022-02-23 10:57:48,499050,457050,-5.512323515558876
2,Bias,330,2022-02-23 10:57:48,497050,467050,-7.563096150178183
2,Bias,464,2022-02-19 11:21:44,269050,804050,-5.574953034768271
2,Bias,601,2022-02-20 11:15:16,389050,854050,3.012431921825794
2,Bias,2166,2019-02-27 11:21:23,248050,724050,-3.0778447741305968
2,Bias,2461,2019-02-24 10:51:42,549050,324050,3.697352448252616
2,Bias,2462,2019-02-24 10:51:42,565050,324050,-2.345577880706003
2,Bias,2756,2017-02-14 11:15:51,336050,675050,3.90485697309947
2,Bias,2789,2020-02-07 11:15:58,338050,676050,2.7689301281374696
2,Bias,3905,2016-02-28 11:15:25,297050,714050,2.6333801744453353
2,Bias,4043,2022-02-27 11:21:45,271050,716050,-2.6794433442981926
2,Bias,4044,2022-02-27 11:21:45,281050,716050,-2.87884594208208
2,Bias,4252,2020-02-09 11:04:00,489050,404050,-6.716738904508134
2,Bias,4253,2020-02-09 11:04:00,499050,404050,-6.557386683007962
2,Bias,4852,2022-02-27 11:21:45,247050,819050,-2.426868420190715
2,Bias,4894,2016-02-16 10:52:18,549050,134050,2.7961050634080493
2,Bias,5085,2021-02-27 11:04:21,393050,294050,-6.189152630952094
2,Bias,5086,2021-02-27 11:04:21,403050,299050,-8.008919266256157
2,Bias,5087,2021-02-27 11:04:21,407050,314050,-9.38405302682014
2,Bias,5088,2021-02-27 11:04:21,417050,315050,-2.4102286468294665
2,Bias,5359,2022-02-04 11:15:47,371050,832050,2.994081279033537
2,Bias,5584,2016-02-28 11:15:49,297050,681050,2.8699108034252845
2,Bias,6475,2014-02-08 11:04:54,498050,437050,-2.8622262174727098
2,Bias,6531,2020-02-02 10:57:51,489050,434050,4.466584195293365
2,Bias,6532,2020-02-02 10:57:51,499050,434050,7.339978408398565
2,Bias,6533,2020-02-02 10:57:51,499050,444050,8.381864555193488
2,Bias,6534,2020-02-09 11:04:00,482050,424050,-5.499966668565548
2,Bias,6535,2020-02-09 11:04:00,494050,434050,-6.847119147167177
2,Bias,6536,2020-02-09 11:04:00,491050,444050,-2.956959333834277
2,Bias,6622,2016-02-16 10:51:54,608050,254050,2.647689814530395
2,Bias,6623,2016-02-16 10:51:54,618050,254050,2.924947686334292
2,Bias,6627,2016-02-16 10:51:54,619050,264050,3.0616878218804686
2,Bias,6630,2016-02-16 10:51:54,609050,274050,2.662275145619617
2,Bias,6634,2016-02-16 10:51:54,611050,284050,3.045182212994291
2,Variance,73,2018-02-15 11:27:17,249050,870050,4.319162277216249
2,Variance,132,2022-02-27 11:21:21,258050,862050,1.64471426232194
2,Variance,228,2019-02-22 11:04:04,309050,334050,2.0117752498413335
2,Variance,321,2020-02-02 10:57:51,499050,464050,2.1070464582745974
2,Variance,323,2020-02-09 11:04:00,498050,454050,21.13025821336985
2,Variance,446,2019-02-27 11:21:23,269050,784050,3.105738291321287
2,Variance,456,2021-02-09 11:15:37,279050,780050,3.889428671489452
2,Variance,464,2022-02-19 11:21:44,269050,804050,3.7060194958541013
2,Variance,505,2019-02-15 10:57:55,390050,254050,1.516468399506451
2,Variance,1018,2019-02-24 10:51:42,519050,294050,2.0998237675112623
2,Variance,1019,2019-02-24 10:51:42,515050,304050,1.6063480188251975
2,Variance,2164,2019-02-27 11:21:23,252050,704050,1.6853578694775992
2,Variance,2165,2019-02-27 11:21:23,254050,714050,1.7408440686404265
2,Variance,2166,2019-02-27 11:21:23,248050,724050,2.5081500124888203
2,Variance,2254,2014-02-26 10:52:41,549050,324050,1.5924526442464328
2,Variance,2459,2019-02-24 10:51:42,569050,314050,1.775552891853713
2,Variance,2461,2019-02-24 10:51:42,549050,324050,3.251501718975629
2,Variance,2756,2017-02-14 11:15:51,336050,675050,3.5352380010343323
2,Variance,2789,2020-02-07 11:15:58,338050,676050,1.5664779116036547
2,Variance,2867,2019-02-27 11:21:23,229050,755050,2.5437678665742687
2,Variance,3043,2021-02-27 11:03:57,399050,544050,1.49642679306649
2,Variance,3189,2021-02-18 11:10:12,329050,396050,1.5590284995734531
2,Variance,3626,2015-02-09 11:15:24,299050,734050,2.0085992184083987
2,Variance,3648,2016-02-28 11:15:25,296050,734050,2.329020045847692
2,Variance,3698,2019-02-27 11:21:23,277050,734050,1.5332299794771522
2,Variance,3699,2019-02-27 11:21:23,287050,734050,2.385478934591111
2,Variance,3700,2019-02-27 11:21:23,297050,734050,4.329769710393879
2,Variance,3701,2019-02-27 11:21:23,298050,751050,1.755884801064357
2,Variance,3702,2019-02-27 11:21:23,285050,753050,3.6558578363297145
2,Variance,3703,2019-02-27 11:21:23,269050,756050,2.6955469768160145
2,Variance,3974,2019-02-27 11:21:23,278050,694050,1.8067171111099634
2,Variance,3975,2019-02-27 11:21:23,288050,694050,2.077230199643032
2,Variance,3981,2019-02-27 11:21:23,269050,723050,1.5769789128486875
2,Variance,3982,2019-02-27 11:21:23,279050,724050,1.5065353086454263
2,Variance,3983,2019-02-27 11:21:23,289050,724050,1.5851017142749388
2,Variance,4252,2020-02-09 11:04:00,489050,404050,3.9790180346499207
2,Variance,4852,2022-02-27 11:21:45,247050,819050,1.9122639164664994
2,Variance,4853,2022-02-27 11:21:45,249050,829050,1.6688260419753795
2,Variance,4854,2022-02-27 11:21:45,245050,839050,1.580641949778292
2,Variance,4855,2022-02-27 11:21:45,255050,839050,2.2593181578109673
2,Variance,5081,2020-02-09 11:04:24,403050,294050,3.352839426789982
2,Variance,5357,2022-02-04 11:15:47,363050,814050,1.5113730965956302
2,Variance,5584,2016-02-28 11:15:49,297050,681050,2.737139023294466
2,Variance,5827,2021-02-18 11:10:12,335050,414050,1.938818937877052
2,Variance,5828,2021-02-18 11:10:12,329050,432050,1.5271180284653314
2,Variance,5899,2019-02-22 11:04:04,354050,264050,2.1572450911346563
2,Variance,6534,2020-02-09 11:04:00,482050,424050,4.112279156181287
2,Variance,6535,2020-02-09 11:04:00,494050,434050,3.7788734733399827
2,Variance,6536,2020-02-09 11:04:00,491050,444050,31.97483647471485
3,RMSE,492,2017-03-13 10:57:55,389050,274050,3.6203030827950986
3,RMSE,978,2018-03-25 10:51:29,511050,313050,3.2543777678398085
3,RMSE,979,2018-03-25 10:51:29,539050,322050,3.8276221294980854
3,RMSE,1865,2017-03-25 11:21:19,339050,824050,3.8205832012745593
3,RMSE,2140,2017-03-25 11:21:19,259050,694050,3.265566158226482
3,RMSE,2191,2021-03-20 11:21:31,248050,694050,3.50620143038854
3,RMSE,2282,2015-03-24 10:57:42,552050,321050,4.666568428841507
3,RMSE,2390,2018-03-25 10:51:29,553050,305050,3.565254436936397
3,RMSE,2759,2017-03-27 11:09:20,327050,674050,6.59543681736449
3,RMSE,2891,2014-03-19 11:10:35,403050,551050,3.2469977729661568
3,RMSE,3195,2022-03-25 11:09:56,309050,384050,5.5074087764295845
3,RMSE,3729,2021-03-20 11:21:31,280050,734050,4.599330261153579
3,RMSE,3730,2021-03-20 11:21:31,290050,734050,4.340566448426971
3,RMSE,3753,2022-03-07 11:21:42,283050,737050,3.427900962457347
3,RMSE,3754,2022-03-07 11:21:42,286050,749050,4.358985981945605
3,RMSE,3755,2022-03-07 11:21:42,296050,749050,3.734696580023301
3,RMSE,3756,2022-03-07 11:21:42,271050,764050,3.7409234727913687
3,RMSE,3935,2017-03-25 11:21:19,269050,694050,3.294384195331159
3,RMSE,4014,2021-03-20 11:21:31,289050,694050,3.334249220729624
3,RMSE,4015,2021-03-20 11:21:31,269050,704050,5.145811370435867
3,RMSE,4016,2021-03-20 11:21:31,279050,704050,4.263776479580045
3,RMSE,4018,2021-03-20 11:21:31,299050,707050,3.856354451215761
3,RMSE,4019,2021-03-20 11:21:31,280050,714050,5.0703942055429785
3,RMSE,4020,2021-03-20 11:21:31,298050,717050,4.5677852310281235
3,RMSE,4283,2021-03-31 11:03:44,494050,388050,3.5983913909901037
3,RMSE,4284,2021-03-31 11:03:44,481050,391050,3.8718508369812317
3,RMSE,4285,2021-03-31 11:03:44,491050,398050,4.046818355253893
3,RMSE,4554,2017-03-27 11:10:08,229050,357050,3.8209276448109715
3,RMSE,5223,2017-03-27 11:08:57,365050,814050,3.629795112517137
3,RMSE,5370,2022-03-25 11:09:08,361050,834050,4.073122037766055
3,RMSE,5372,2022-03-25 11:09:08,371050,840050,3.587950445573341
3,RMSE,5494,2017-03-27 11:10:32,229050,214050,3.8230791320613178
3,RMSE,5495,2017-03-27 11:10:32,239050,214050,3.786348287897236
3,RMSE,5496,2017-03-27 11:10:32,229050,224050,3.3868782363774814
3,RMSE,5679,2017-03-02 11:15:46,368050,658050,3.6256064295245753
3,RMSE,5684,2017-03-27 11:09:20,376050,671050,8.088011380931274
3,RMSE,5772,2022-03-25 11:09:32,376050,671050,4.674581553550575
3,RMSE,5788,2014-03-19 11:10:35,334050,414050,3.334297503443871
3,RMSE,5789,2014-03-19 11:10:35,323050,421050,6.622003489794974
3,RMSE,5790,2014-03-19 11:10:35,328050,434050,3.881840451845303
3,RMSE,5792,2014-03-19 11:10:35,334050,444050,4.008623767631661
3,RMSE,5810,2017-03-27 11:09:44,334050,418050,3.385908649524901
3,RMSE,6134,2021-03-11 11:28:34,59050,519050,6.3259384937645
3,RMSE,7408,2017-03-27 11:10:32,269050,94050,4.3692295189746035
3,RMSE,7409,2017-03-27 11:10:32,269050,109050,4.272456044184182
3,Bias,57,2017-03-25 11:20:55,231050,864050,-2.6793444525696373
3,Bias,492,2017-03-13 10:57:55,389050,274050,-3.491050444894654
3,Bias,979,2018-03-25 10:51:29,539050,322050,3.4234032773359218
3,Bias,1863,2017-03-25 11:21:19,336050,814050,-2.8451544005489495
3,Bias,1865,2017-03-25 11:21:19,339050,824050,-3.6679067112291364
3,Bias,2191,2021-03-20 11:21:31,248050,694050,-2.9985641674493877
3,Bias,2192,2021-03-20 11:21:31,258050,694050,-2.564937302926637
3,Bias,2282,2015-03-24 10:57:42,552050,321050,4.29753757764496
3,Bias,2390,2018-03-25 10:51:29,553050,305050,3.410117556976161
3,Bias,2505,2020-03-21 10:57:58,549050,294050,3.087928582128143
3,Bias,2759,2017-03-27 11:09:20,327050,674050,6.416438696453554
3,Bias,2833,2022-03-24 11:15:53,309050,654050,-2.723415765150662
3,Bias,2891,2014-03-19 11:10:35,403050,551050,3.0739722840565946
3,Bias,3195,2022-03-25 11:09:56,309050,384050,5.113858559452069
3,Bias,3729,2021-03-20 11:21:31,280050,734050,-4.377383859141332
3,Bias,3730,2021-03-20 11:21:31,290050,734050,-4.056374093147781
3,Bias,3733,2021-03-20 11:21:31,296050,754050,-2.5662912323824116
3,Bias,3753,2022-03-07 11:21:42,283050,737050,3.2702640057760846
3,Bias,3754,2022-03-07 11:21:42,286050,749050,4.2466655228197965
3,Bias,3755,2022-03-07 11:21:42,296050,749050,3.6342115990807997
3,Bias,3756,2022-03-07 11:21:42,271050,764050,3.527589805381581
3,Bias,4012,2021-03-20 11:21:31,269050,694050,-2.7326489798817306
3,Bias,4014,2021-03-20 11:21:31,289050,694050,-2.5731364705097803
3,Bias,4015,2021-03-20 11:21:31,269050,704050,-4.986272604833175
3,Bias,4016,2021-03-20 11:21:31,279050,704050,-3.9952212765012405
3,Bias,4017,2021-03-20 11:21:31,289050,704050,-2.8812799242614346
3,Bias,4018,2021-03-20 11:21:31,299050,707050,-3.3976310402098875
3,Bias,4019,2021-03-20 11:21:31,280050,714050,-4.598923206556492
3,Bias,4020,2021-03-20 11:21:31,298050,717050,-4.43128746407524
3,Bias,4284,2021-03-31 11:03:44,481050,391050,-2.867171747262148
3,Bias,4285,2021-03-31 11:03:44,491050,398050,-3.2414187318715335
3,Bias,4554,2017-03-27 11:10:08,229050,357050,3.599364052488397
3,Bias,4561,2020-03-03 11:10:29,229050,356050,-3.10933887190248
3,Bias,5223,2017-03-27 11:08:57,365050,814050,3.322816073819695
3,Bias,5370,2022-03-25 11:09:08,361050,834050,-3.7587976886256342
3,Bias,5372,2022-03-25 11:09:08,371050,840050,-3.2929256711377093
3,Bias,5494,2017-03-27 11:10:32,229050,214050,3.7267652437241168
3,Bias,5495,2017-03-27 11:10:32,239050,214050,3.6176110639269154
3,Bias,5496,2017-03-27 11:10:32,229050,224050,3.2487826894094383
3,Bias,5679,2017-03-02 11:15:46,368050,658050,3.477879379814283
3,Bias,5684,2017-03-27 11:09:20,376050,671050,7.994679094671483
3,Bias,5772,2022-03-25 11:09:32,376050,671050,4.51729113284614
3,Bias,5789,2014-03-19 11:10:35,323050,421050,6.449472602107903
3,Bias,5790,2014-03-19 11:10:35,328050,434050,3.5693789974296237
3,Bias,5792,2014-03-19 11:10:35,334050,444050,3.684871398041423
3,Bias,6134,2021-03-11 11:28:34,59050,519050,6.251253522438901
3,Bias,7039,2017-03-27 11:10:08,289050,334050,-2.886977275169727
3,Bias,7408,2017-03-27 11:10:32,269050,94050,4.072965162481012
3,Bias,7409,2017-03-27 11:10:32,269050,109050,4.036713869081382
3,Variance,56,2017-03-25 11:20:55,255050,854050,3.0347131218070635
3,Variance,58,2017-03-25 11:20:55,251050,864050,3.2652522344055748
3,Variance,295,2022-03-25 11:10:20,320050,338050,3.007870736118905
3,Variance,332,2022-03-10 11:03:59,499050,477050,2.931260353460359
3,Variance,528,2021-03-31 11:04:08,419050,258050,2.9999255762508734
3,Variance,857,2021-03-31 11:04:32,289050,232050,6.785581903301165
3,Variance,859,2021-03-31 11:04:32,299050,241050,6.047242732264234
3,Variance,978,2018-03-25 10:51:29,511050,313050,2.843485736282564
3,Variance,979,2018-03-25 10:51:29,539050,322050,2.931061218514243
3,Variance,1107,2022-03-28 10:51:56,511050,304050,5.203425769070491
3,Variance,1108,2022-03-28 10:51:56,521050,304050,5.1208048128838035
3,Variance,1109,2022-03-28 10:51:56,509050,314050,5.882286319795244
3,Variance,1110,2022-03-28 10:51:56,528050,318050,3.5848578268910556
3,Variance,1111,2022-03-28 10:51:56,509050,324050,4.75841785621081
3,Variance,1939,2017-03-13 10:57:55,477050,344050,3.3005438749632865
3,Variance,2190,2021-03-20 11:21:31,238050,694050,4.113320059011784
3,Variance,2191,2021-03-20 11:21:31,248050,694050,3.301934023284425
3,Variance,2280,2015-03-24 10:57:42,559050,301050,2.953139335406312
3,Variance,2281,2015-03-24 10:57:42,556050,311050,3.158301066070911
3,Variance,2282,2015-03-24 10:57:42,552050,321050,3.3084312305553527
3,Variance,2607,2022-03-11 10:58:08,560050,324050,3.5396664179884034
3,Variance,2618,2022-03-28 10:51:56,551050,294050,5.836544434235616
3,Variance,2619,2022-03-28 10:51:56,566050,294050,5.015625281115013
3,Variance,2620,2022-03-28 10:51:56,576050,294050,4.9229591837724005
3,Variance,2621,2022-03-28 10:51:56,549050,304050,5.343668747359104
3,Variance,2622,2022-03-28 10:51:56,559050,304050,5.110188529910602
3,Variance,2623,2022-03-28 10:51:56,569050,310050,5.821351517816768
3,Variance,2624,2022-03-28 10:51:56,554050,314050,4.903793825053444
3,Variance,2625,2022-03-28 10:51:56,579050,316050,5.011615727539464
3,Variance,2626,2022-03-28 10:51:56,564050,320050,3.6589675765813605
3,Variance,2627,2022-03-28 10:51:56,549050,324050,6.4076791072436095
3,Variance,2834,2022-03-25 11:09:32,335050,668050,8.199860610409264
3,Variance,2835,2022-03-25 11:09:32,314050,684050,3.6291424219184742
3,Variance,3050,2021-03-22 11:09:33,412050,544050,3.333244159315412
3,Variance,3195,2022-03-25 11:09:56,309050,384050,4.180450867449401
3,Variance,3483,2021-03-31 11:03:44,439050,464050,4.438997000016073
3,Variance,3484,2021-03-31 11:03:44,429050,474050,3.034667278999121
3,Variance,3514,2014-03-12 11:04:29,389050,414050,2.950570602900481
3,Variance,3705,2019-03-31 11:21:15,292050,750050,3.525200379730231
3,Variance,3731,2021-03-20 11:21:31,280050,744050,2.9435370415212923
3,Variance,3732,2021-03-20 11:21:31,286050,754050,2.834449015471278
3,Variance,3758,2022-03-23 11:21:32,272050,739050,2.836532523317937
3,Variance,3818,2021-03-31 11:04:08,378050,298050,4.4168454935910075
3,Variance,3819,2021-03-31 11:04:08,349050,304050,3.706274357570643
3,Variance,3833,2022-03-26 11:04:18,376050,294050,3.483956685331912
3,Variance,3835,2022-03-26 11:04:18,355050,314050,4.901265003128306
3,Variance,3935,2017-03-25 11:21:19,269050,694050,3.2128930235268998
3,Variance,4014,2021-03-20 11:21:31,289050,694050,4.496119273206897
3,Variance,4018,2021-03-20 11:21:31,299050,707050,3.3273779517951634
3,Variance,4019,2021-03-20 11:21:31,280050,714050,4.558861405222383
3,Variance,4282,2021-03-31 11:03:44,484050,381050,6.3208173368858365
3,Variance,4283,2021-03-31 11:03:44,494050,388050,6.985822843071459
3,Variance,4284,2021-03-31 11:03:44,481050,391050,6.770686551212741
3,Variance,4285,2021-03-31 11:03:44,491050,398050,5.869973476826616
3,Variance,4325,2022-03-26 11:03:54,495050,384050,3.004799647428278
3,Variance,4326,2022-03-26 11:03:54,481050,394050,4.779928436847716
3,Variance,4327,2022-03-26 11:03:54,495050,394050,3.0005308316894705
3,Variance,4816,2017-03-25 11:21:19,251050,841050,3.5415660800487765
3,Variance,4856,2022-03-23 11:21:32,242050,818050,6.795117010239509
3,Variance,4857,2022-03-23 11:21:32,247050,828050,6.094475165511818
3,Variance,5090,2021-03-31 11:04:08,393050,314050,2.959611345936325
3,Variance,5366,2022-03-25 11:09:08,349050,824050,3.023630025808235
